YYYY-MM-DD,HH:MM:SS,Process,Message,User
2024-09-22,15:04:12,INFO Process: PID=10748, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=10764, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10992, Name=SecurityHealthSystray.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11112, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11152, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11232, Name=SearchApp.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11256, Name=StartMenuExperienceHost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11288, Name=UserOOBEBroker.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11308, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11428, Name=avpui.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11460, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11512, Name=NVIDIA Web Helper.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11576, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11696, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11756, Name=SearchApp.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11796, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11864, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=11904, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=11932, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=12140, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=12232, Name=conhost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=12252, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=12496, Name=WhatsApp.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=12752, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=12760, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04
